Title,Model,Code Type,LOC,Errors,options remain unchanged,trailing-whitespace,undefined-variable,redefined-builtin,wildcard-import,return-outside-function,bad-continuation,used-before-assignment,too-many-locals,missing-docstring,too-few-public-methods,invalid-name,pointless-statement,blacklisted-name,trailing-comma-tuple,parse-error,unused-import,bare-except,anomalous-backslash-in-string,unused-argument,trailing-newlines,no-self-use,import-error,redefined-outer-name,relative-beyond-top-level,line-too-long,syntax-error,too-many-arguments,bad-whitespace,Other Errors
trend-archive,https://raw.githubusercontent.com/rip-tyang/trend-archive/main/save_raw.py,python,46,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rapidtide,https://raw.githubusercontent.com/bbfrederick/rapidtide/main/revversion.py,python,17,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acestream-search,https://raw.githubusercontent.com/malomehi/acestream-search/master/setup.py,python,30,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemini-ai-toolkit,https://raw.githubusercontent.com/RMNCLDYO/gemini-ai-toolkit/main/config.py,python,32,"{'line-too-long': 2, 'trailing-whitespace': 1, 'missing-docstring': 1}",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ReVanced-Patch-Bundles,https://raw.githubusercontent.com/Jman-Github/ReVanced-Patch-Bundles/bundles/generate_bundles.py,python,81,"{'line-too-long': 7, 'trailing-whitespace': 5, 'missing-final-newline': 1, 'mixed-line-endings': 1, 'missing-docstring': 1}",0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2
anigamerdatabase,https://raw.githubusercontent.com/kirbyloco/anigamerdatabase/master/main.py,python,60,"{'line-too-long': 1, 'missing-docstring': 1, 'invalid-name': 3}",0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
map2loop,https://raw.githubusercontent.com/Loop3D/map2loop/master/setup.py,python,61,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kebbie,https://raw.githubusercontent.com/FleksySDK/kebbie/main/setup.py,python,55,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bsc-predict-updater,https://raw.githubusercontent.com/bsc-predict/bsc-predict-updater/master/update.py,python,18,"{'bad-indentation': 5, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GlasgowBikingAPI,https://raw.githubusercontent.com/vyrzdev/GlasgowBikingAPI/master/main.py,python,43,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jinja2,https://raw.githubusercontent.com/codeabuu/jinja2/main/amdefiguy.py,python,10,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time-commit,https://raw.githubusercontent.com/BlueSkyClouds/time-commit/master/start_action.py,python,23,{'missing-docstring': 1},0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v2ex-hot-hub,https://raw.githubusercontent.com/lonnyzhang423/v2ex-hot-hub/main/v2ex.py,python,50,"{'line-too-long': 1, 'missing-docstring': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
isyuricunha,https://raw.githubusercontent.com/isyuricunha/isyuricunha/master/update_readme.py,python,64,{'parse-error': 1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk_item_shop,https://raw.githubusercontent.com/kim-taeseong/desk_item_shop/main/manage.py,python,22,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
